,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:46:08.712144,"(17.0, 30.0, 29.529411764705884)","(8.0, 10.5, 8.475)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.2)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.4)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:10.056522,"(17.0, 30.0, 29.529411764705884)","(8.0, 10.5, 8.475)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.220000000000001)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:11.331999,"(17.0, 30.0, 29.529411764705884)","(8.0, 10.5, 8.475)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.236363636363636)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:12.617409,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.4875)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:13.830690,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.4875)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:15.096287,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.428571428571429)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:16.426890,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.428571428571429)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:17.676937,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.514285714285714)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:18.901224,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.514285714285714)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
16-12-2022 12:46:20.138288,"(17.0, 30.0, 25.333333333333332)","(8.0, 10.5, 9.514285714285714)","(2.7, 2.94, 2.86)","(31.0, 610.0, 572.7586206896551)","(9.0, 6.4, 6.254545454545455)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 32.6)","(21.0, 130.0, 119.2)","(3.8, 6.8, 6.4)","(7.0, 18.5, 11.766666666666667)"
