,Terrific Arnold,Destini Spitfire,Bernardo Bowl,Paramount Belle,Victa Kerle,Thanks Joan,Cawbourne Attack,Victa Alby
16-12-2022 12:47:22.899644,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 20.0, 20.238095238095237)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:23.901981,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 25.0, 20.238095238095237)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:24.913881,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 25.0, 20.238095238095237)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:26.027847,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 25.0, 20.238095238095237)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:27.126884,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 25.0, 20.238095238095237)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:28.220033,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:29.234584,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:30.214486,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:31.219402,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:32.356335,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:33.431859,"(15.0, 40.0, 25.42857142857143)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:34.505207,"(15.0, 40.0, 26.25)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:35.668322,"(15.0, 40.0, 26.25)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:36.733348,"(15.0, 40.0, 26.25)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:37.814188,"(15.0, 40.0, 22.0)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:38.892172,"(15.0, 40.0, 22.0)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:39.973984,"(15.0, 40.0, 22.0)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:41.039213,"(15.0, 40.0, 24.857142857142858)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:42.107201,"(15.0, 40.0, 24.857142857142858)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:43.142107,"(15.0, 40.0, 24.857142857142858)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:44.203416,"(15.0, 40.0, 24.857142857142858)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:45.249017,"(15.0, 40.0, 24.857142857142858)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:46.248183,"(15.0, 40.0, 22.666666666666664)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:47.249036,"(15.0, 40.0, 22.666666666666664)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
16-12-2022 12:47:48.290858,"(15.0, 40.0, 22.666666666666664)","(16.0, 42.0, 30.210526315789473)","(4.2, 6.4, 5.08)","(8.5, 23.0, 22.25)","(5.5, 9.2, 6.762499999999999)","(15.0, 34.0, 30.0)","(14.0, 32.0, 18.666666666666668)","(1.95, 2.04, 1.9581818181818182)"
