,Claws In Rambo,Big Time Hugo,Opawa Pick,Oscars Reality,Big Time Noise,Big Time Bumper,Stay Connected
16-12-2022 14:47:19.712800,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:20.798896,"(4.8, 12.0, 9.633333333333333)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:21.740690,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:22.867516,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:24.024986,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:25.181503,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:26.293460,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:27.281127,"(4.8, 12.0, 9.7)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:28.275664,"(4.8, 12.0, 11.2)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:29.395461,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:30.419307,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:31.394364,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:32.311803,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:33.403565,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:34.406129,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:35.386887,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:36.382938,"(4.8, 12.0, 9.733333333333334)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:37.366623,"(4.8, 12.0, 11.042857142857143)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 54.0)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:38.382337,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:39.503834,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:40.559736,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:41.559907,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.9555555555555557)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:42.521248,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.9555555555555557)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:43.453251,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.9555555555555557)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:44.446640,"(4.8, 12.0, 9.8)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.9555555555555557)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:45.410986,"(4.8, 12.0, 11.2)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.9555555555555557)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:46.487485,"(4.8, 12.0, 9.633333333333333)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:47.483549,"(4.8, 12.0, 9.633333333333333)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:48.544924,"(4.8, 12.0, 9.633333333333333)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:49.616098,"(4.8, 12.0, 11.0)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:50.746429,"(4.8, 12.0, 11.0)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.76)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:51.885880,"(4.8, 12.0, 11.0)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:52.852222,"(4.8, 12.0, 11.0)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
16-12-2022 14:47:53.794411,"(4.8, 12.0, 11.0)","(3.1, 4.7, 3.8000000000000003)","(8.0, 32.0, 22.0)","(19.0, 90.0, 77.91666666666667)","(2.25, 3.2, 2.825)","(8.0, 16.0, 10.48)","(26.0, 290.0, 120.92857142857142)"
