,Kaypat World,Aerobic Maximum,Urban Girl,Side Kick,All Vogue,Maywyn Kama,Out Of Turmoil
16-12-2022 15:00:58.373705,"(12.0, 34.0, 21.77777777777778)","(14.0, 34.0, 21.8125)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.3, 3.518333333333333)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:00:59.526798,"(12.0, 34.0, 20.875)","(14.0, 40.0, 24.0625)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.3, 3.187777777777778)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:00.688781,"(12.0, 34.0, 20.875)","(14.0, 40.0, 24.0625)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.6, 3.187777777777778)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:01.807428,"(12.0, 34.0, 20.875)","(14.0, 40.0, 24.375)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.6, 3.187777777777778)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:03.170658,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.6, 3.187777777777778)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:04.202392,"(12.0, 34.0, 21.77777777777778)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.6, 3.187777777777778)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:05.280513,"(12.0, 34.0, 21.77777777777778)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 8.262745098039217)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:06.383930,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:07.347741,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:08.348211,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 8.8, 7.381818181818183)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:09.551816,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:10.661003,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:11.740184,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:12.757920,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:13.674122,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:14.695174,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.381818181818182)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:15.783400,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.381818181818182)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:16.777737,"(12.0, 34.0, 20.875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.381818181818182)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:17.786559,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.381818181818182)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:18.822708,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 8.022222222222222)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:19.962916,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.533333333333334)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:21.003447,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.533333333333334)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:22.085319,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.533333333333334)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:23.108116,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.533333333333334)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:24.159204,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:25.246220,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
16-12-2022 15:01:26.339017,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 23.333333333333332)","(5.5, 9.2, 7.636363636363637)","(2.8, 4.5, 3.5523076923076924)","(5.0, 9.8, 6.728)","(2.9, 4.9, 3.543076923076923)","(21.0, 65.0, 32.27272727272727)"
