,Electric Heidi,Claretown Ann,Aston Jasper,Smiling Quartile,Mythical Queen,Stopped Short,Aston Esme,Caesars Palace
16-12-2022 14:47:33.881689,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.0215384615384613)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 50.285714285714285)","(4.6, 9.2, 8.066666666666666)","(8.5, 12.0, 9.82)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.285714285714286)"
16-12-2022 14:47:34.924868,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.2, 3.1)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 50.285714285714285)","(4.6, 9.2, 8.066666666666666)","(8.5, 10.5, 9.82)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.285714285714286)"
16-12-2022 14:47:36.013070,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.2, 3.0375)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 71.0)","(4.6, 9.2, 6.933333333333333)","(8.5, 10.5, 9.82)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.285714285714286)"
16-12-2022 14:47:37.165818,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.2, 3.0375)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 79.52941176470588)","(4.6, 9.2, 6.933333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:38.316933,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.2, 3.1076923076923078)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 79.52941176470588)","(4.6, 9.2, 6.933333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:39.488321,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.2, 3.1076923076923078)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 79.52941176470588)","(4.6, 9.2, 6.933333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 37.14285714285714)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:40.614741,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.2, 3.1076923076923078)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 79.52941176470588)","(4.6, 9.2, 6.933333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.333333333333334)"
16-12-2022 14:47:41.722427,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.15, 3.03125)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 79.52941176470588)","(4.6, 9.2, 7.066666666666666)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.333333333333334)"
16-12-2022 14:47:42.830889,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.15, 3.03125)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.454545454545455)"
16-12-2022 14:47:43.904835,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0846153846153848)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:44.980299,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0846153846153848)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:46.101192,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0846153846153848)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.528571428571428)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.333333333333334)"
16-12-2022 14:47:47.202126,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.15, 3.04375)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.333333333333334)"
16-12-2022 14:47:48.360631,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0875)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:49.504576,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0875)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:50.704429,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.15, 3.0875)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 87.57142857142858)","(4.6, 9.2, 8.133333333333333)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:51.911879,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.25, 3.1346153846153846)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.833333333333332)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:52.989796,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.25, 3.0625)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.833333333333332)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:54.023849,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.183333333333333)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.833333333333332)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:55.007117,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.183333333333333)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.833333333333332)","(8.5, 10.5, 9.5)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.318181818181818)"
16-12-2022 14:47:56.051136,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.183333333333333)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.581818181818182)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.333333333333334)"
16-12-2022 14:47:57.113015,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.25, 3.1357142857142857)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.618181818181819)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.3478260869565215)"
16-12-2022 14:47:58.131496,"(4.4, 5.5, 4.846666666666667)","(2.7, 3.25, 3.1357142857142857)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.618181818181819)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.3478260869565215)"
16-12-2022 14:47:59.204244,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.1954545454545453)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.345454545454546)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.3478260869565215)"
16-12-2022 14:48:00.283304,"(4.4, 5.5, 5.057894736842106)","(2.7, 3.25, 3.1954545454545453)","(8.5, 14.5, 12.884615384615385)","(41.0, 100.0, 80.66666666666667)","(4.6, 9.2, 8.035294117647059)","(8.5, 9.8, 9.345454545454546)","(21.0, 60.0, 38.75)","(5.5, 7.0, 6.368421052631579)"
