,Know Knuckles,Ohoka Coco,Homebush Lauren,Homebush Gracen,Champagne,Homebush Reta,Opawa Cody,Rowdys Message
0,"[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 19, 287074), 6.0, 19.0]"
1,"[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 450214), 6.0, 19.0]"
2,"[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 596415), 6.0, 19.0]"
3,"[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 736437), 6.0, 19.0]"
4,"[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 863383), 6.0, 19.0]"
5,"[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 996153), 6.0, 19.0]"
6,"[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 138454), 6.0, 19.0]"
7,"[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 27, 297285), 6.0, 19.0]"
8,"[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 423634), 6.0, 19.0]"
9,"[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 566139), 6.0, 19.0]"
