,Know Malice,Homebush Allison,Rowdy Esmay,Homebush Sabre,Tane Mahuta,Rockdale Flora,Flashback Fred
0,"[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 13, 393734), 3.4, 6.4]"
1,"[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 14, 506263), 3.4, 6.4]"
2,"[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 15, 627977), 3.4, 6.4]"
3,"[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 16, 738335), 3.4, 6.4]"
4,"[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 17, 855731), 3.4, 6.4]"
5,"[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 18, 983199), 3.4, 6.4]"
6,"[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 20, 108703), 3.4, 6.4]"
7,"[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 21, 235543), 3.4, 6.4]"
8,"[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 22, 384303), 3.4, 6.4]"
9,"[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 23, 523406), 3.4, 6.4]"
