,Homebush Leah,Homebush Bun,Homebush Classy,Brendon Baxter,Smash Jagger,Wandering Star,Lucky Luciano
0,"[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 9, 243718), 21.0, 240.0]"
1,"[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 10, 369389), 21.0, 240.0]"
2,"[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 11, 508104), 21.0, 240.0]"
3,"[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 12, 622074), 21.0, 240.0]"
4,"[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 13, 742018), 21.0, 240.0]"
5,"[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 14, 876717), 21.0, 240.0]"
6,"[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 15, 989894), 21.0, 240.0]"
7,"[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 17, 132127), 21.0, 240.0]"
8,"[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 18, 245566), 21.0, 240.0]"
9,"[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 19, 364315), 21.0, 240.0]"
