,Angry Angie,Dam Slipperier,Nothing Matters,Blue Haze,Titanium Gunn,Nana Rooney
0,"[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 180333), 5.5, 8.8]"
1,"[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 13, 284718), 5.5, 8.8]"
2,"[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 400397), 5.5, 8.8]"
3,"[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 507349), 5.5, 8.8]"
4,"[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 647171), 5.5, 8.8]"
5,"[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 746092), 5.5, 8.8]"
6,"[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 845808), 5.5, 8.8]"
7,"[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 967170), 5.5, 8.8]"
8,"[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 21, 67603), 5.5, 8.8]"
9,"[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 188094), 5.5, 8.8]"
10,"[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 294546), 5.5, 8.6]"
11,"[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 24, 404907), 5.5, 8.6]"
12,"[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 25, 521774), 5.5, 8.6]"
