,Frosty Helen,Frostbite Hux,Blue Mystique,Thornbird,Emmeline Vance,Monza,Rosdue Swagman,Frankies Vision
0,"[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 3, 453756), 9.0, 17.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 4, 573483), 9.0, 17.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 5, 699909), 9.0, 17.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 6, 824764), 9.0, 17.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 7, 952407), 9.0, 17.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 9, 83162), 9.0, 17.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 10, 204373), 9.0, 17.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 11, 344015), 9.0, 17.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 12, 480499), 9.0, 17.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 6.5, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 15.0, 34.0]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 3.3, 5.8]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 13, 26, 13, 618762), 9.0, 17.0]"
