,Kooringa Magic,Dragon Smoke,Our Mate Ewan,Bit Of Mischief,Ripple Lane,Annika Mac,Rosdue Kodiak
0,"[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 24, 973453), 9.0, 22.0]"
1,"[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 26, 108437), 9.0, 22.0]"
2,"[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 27, 240928), 9.0, 22.0]"
3,"[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 28, 397245), 9.0, 22.0]"
4,"[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 29, 528328), 9.0, 22.0]"
5,"[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 30, 646547), 9.0, 22.0]"
6,"[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 31, 786875), 9.0, 22.0]"
7,"[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 32, 918137), 9.0, 22.0]"
8,"[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 34, 68379), 9.0, 22.0]"
9,"[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 35, 213902), 9.0, 22.0]"
