,Was That Then,Randall,Nitro Beau,Highgate Lass,Our Charlie Boy,Hot Danger,Dewana Gem,Posh Danger
0,"[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 17, 59, 125823), 4.8, 8.6]"
1,"[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 0, 261435), 4.8, 8.6]"
2,"[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 1, 387838), 4.8, 8.6]"
3,"[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 2, 518033), 4.8, 8.6]"
4,"[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 3, 674504), 4.8, 8.6]"
5,"[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 4, 808206), 4.8, 8.6]"
6,"[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 5, 961569), 4.8, 8.6]"
7,"[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 7, 90296), 4.8, 8.6]"
8,"[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 8, 236427), 4.8, 8.6]"
9,"[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 9, 369311), 4.8, 8.6]"
