,Blackwood Johnny,Dewana Natural,Nitro Harvey,Disco Dance,Nitro Cannon,Dewana Boogie,Blitz Danger,Find Doh
0,"[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 21, 328747), 21.0, 65.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 22, 461305), 21.0, 70.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 23, 603312), 21.0, 70.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 24, 756053), 21.0, 70.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 25, 886909), 21.0, 70.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 27, 19463), 21.0, 70.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 28, 148704), 21.0, 70.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 29, 281868), 21.0, 70.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 30, 409657), 21.0, 70.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 18, 42, 31, 541511), 21.0, 70.0]"
