,Dr Hayley,Pipe Cove,Highland Fame,Aquiline Nose,Lily St Regis,Harden Up Tommy,Toxic Turtle,Cha Cha Socks
0,"[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 9.0, 18.5]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 36, 399848), 31.0, 240.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 9.0, 18.5]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 37, 547003), 31.0, 240.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 38, 676602), 31.0, 240.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 39, 893761), 31.0, 240.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 41, 76319), 31.0, 240.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 42, 276903), 31.0, 240.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 43, 430436), 31.0, 240.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 44, 566471), 31.0, 240.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 45, 701569), 31.0, 240.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 46, 832669), 31.0, 240.0]"
