,Zeldas Legend,Playboy Danger,Buckle Up Ginna,Locknane Serpent,Buckle Up Zion,Wave Blade,Camrose,Fine Irish
0,"[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 0, 794266), 3.7, 5.9]"
1,"[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 1, 934408), 3.7, 5.9]"
2,"[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 3, 63506), 3.7, 5.9]"
3,"[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 4, 207149), 3.7, 5.9]"
4,"[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 5, 348904), 3.7, 5.9]"
5,"[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 6, 499151), 3.7, 5.9]"
6,"[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 7, 634943), 3.7, 5.9]"
7,"[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 8, 775671), 3.7, 5.9]"
8,"[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 9, 922693), 3.7, 5.9]"
9,"[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 31.0, 190.0]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 8.5, 16.0]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 2.6, 3.35]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 9.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 9.0, 17.0]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 3.8, 7.2]","[datetime.datetime(2022, 11, 28, 19, 27, 11, 70613), 3.7, 5.9]"
