,Blackbrush Scott,Dont Tell Margy,Kakariki,Dewana Imagine,Nanny In Town,Highgate Billie,Copper Mountain,Dewana Be Happy
0,"[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 18, 995853), 8.0, 16.0]"
1,"[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 20, 128784), 8.0, 16.0]"
2,"[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 21, 258408), 8.0, 16.0]"
3,"[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 22, 392297), 8.0, 16.0]"
4,"[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 23, 514227), 8.0, 16.0]"
5,"[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 24, 639655), 8.0, 16.0]"
6,"[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 25, 762327), 8.0, 16.0]"
7,"[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 26, 914151), 8.0, 16.0]"
8,"[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 28, 47092), 8.0, 16.0]"
9,"[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 3.4, 5.7]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 1.7, 2.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 18.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 11.0, 24.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 15.0, 40.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 31.0, 120.0]","[datetime.datetime(2022, 11, 28, 20, 38, 29, 173795), 8.0, 16.0]"
