,All Lit Up,My Brockie,Flying Tiny Tim,Yeah Duggi,Genuine Risk,Adele Amour,Elite Choice,Astral Star
0,"[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 16, 365746), 16.0, 40.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 17, 508810), 16.0, 40.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 18, 645554), 16.0, 40.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 19, 852403), 16.0, 40.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 21, 3557), 16.0, 34.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 22, 172091), 16.0, 34.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 23, 373889), 16.0, 34.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 24, 540018), 16.0, 34.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 25, 688432), 16.0, 34.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 26, 840765), 16.0, 34.0]"
