,Birdie Blue,What A Tart,Despeight All Odds,Emperors Song,Sugar Britches,Lady Breanna,Lady Madison,Orbette
0,"[datetime.datetime(2022, 11, 28, 10, 30, 6, 29657), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 6, 30655), 5.5, 8.2]"
1,"[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 7, 165836), 5.5, 8.2]"
2,"[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 8, 307070), 5.5, 8.2]"
3,"[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 9, 447640), 5.5, 8.2]"
4,"[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 10, 577167), 5.5, 8.2]"
5,"[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 11, 728144), 5.5, 8.2]"
6,"[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 12, 862133), 5.5, 8.2]"
7,"[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 14, 1896), 5.5, 8.2]"
8,"[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 15, 140191), 5.5, 8.2]"
9,"[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 16, 338191), 5.5, 8.2]"
10,"[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 17, 511728), 5.5, 8.2]"
11,"[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 18, 646845), 5.5, 8.2]"
12,"[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 19, 836621), 5.5, 8.2]"
13,"[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 20, 981784), 5.5, 8.2]"
14,"[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 22, 117620), 5.5, 8.2]"
15,"[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 23, 315876), 5.5, 8.2]"
16,"[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 24, 470784), 5.5, 8.2]"
17,"[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 25, 607556), 5.5, 8.2]"
18,"[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 26, 771773), 5.5, 8.2]"
19,"[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 27, 937441), 5.5, 8.2]"
20,"[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 29, 107641), 5.5, 8.2]"
21,"[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 30, 259284), 5.5, 8.2]"
22,"[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 31, 413568), 5.5, 8.2]"
23,"[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 15.0, 80.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 2.7, 7.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 16.0, 32.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 13.0, 44.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 10, 30, 32, 583801), 5.5, 8.2]"
