,Van Damme,Bold Prophet,A I Initiative,Pont Du Gard,Onlyattheshoe
0,"[datetime.datetime(2022, 11, 28, 10, 46, 32, 601794), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 32, 601794), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 32, 601794), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 32, 601794), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 32, 601794), 4.8, 7.4]"
1,"[datetime.datetime(2022, 11, 28, 10, 46, 33, 685333), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 33, 685333), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 33, 685333), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 33, 685333), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 33, 685333), 4.8, 7.4]"
2,"[datetime.datetime(2022, 11, 28, 10, 46, 34, 768271), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 34, 768271), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 34, 768271), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 34, 768271), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 34, 768271), 4.8, 7.4]"
3,"[datetime.datetime(2022, 11, 28, 10, 46, 35, 857145), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 35, 857145), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 35, 857145), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 35, 857145), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 35, 857145), 4.8, 7.4]"
4,"[datetime.datetime(2022, 11, 28, 10, 46, 36, 941601), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 36, 941601), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 36, 941601), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 36, 941601), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 36, 941601), 4.8, 7.4]"
5,"[datetime.datetime(2022, 11, 28, 10, 46, 38, 20744), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 38, 20744), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 38, 20744), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 38, 20744), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 38, 20744), 4.8, 7.4]"
6,"[datetime.datetime(2022, 11, 28, 10, 46, 39, 110693), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 39, 110693), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 39, 110693), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 39, 110693), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 39, 110693), 4.8, 7.4]"
7,"[datetime.datetime(2022, 11, 28, 10, 46, 40, 199973), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 40, 199973), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 40, 199973), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 40, 199973), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 40, 199973), 4.8, 7.4]"
8,"[datetime.datetime(2022, 11, 28, 10, 46, 41, 286554), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 41, 286554), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 41, 286554), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 41, 286554), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 41, 286554), 4.8, 7.4]"
9,"[datetime.datetime(2022, 11, 28, 10, 46, 42, 372760), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 42, 372760), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 46, 42, 372760), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 46, 42, 372760), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 46, 42, 372760), 4.8, 7.4]"
