,Z U In My Dreams,Bettabe Swift,Jungle Goddess,Freezer Burn,Wish For Magic,Flat Out Appealing
0,"[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 19, 130323), 31.0, 99999]"
1,"[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 20, 235433), 31.0, 99999]"
2,"[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 21, 341352), 31.0, 99999]"
3,"[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 22, 441753), 31.0, 99999]"
4,"[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 23, 539084), 31.0, 99999]"
5,"[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 24, 634956), 31.0, 99999]"
6,"[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 25, 745459), 31.0, 99999]"
7,"[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 26, 853724), 31.0, 99999]"
8,"[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 27, 975756), 31.0, 99999]"
9,"[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 2.7, 5.6]","[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 5.5, 16.0]","[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 20.0, 110.0]","[datetime.datetime(2022, 11, 28, 11, 3, 29, 111612), 31.0, 99999]"
