,Maybe Tomorrow,Yamazaki Riot,Blocked Knows,Smell Like Beans,Slingshot Xena,Slingshot Sneaky
0,"[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 22, 607491), 5.0, 8.2]"
1,"[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 23, 725785), 5.0, 7.6]"
2,"[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 24, 889675), 5.0, 7.6]"
3,"[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 26, 59295), 5.0, 7.6]"
4,"[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 27, 200043), 5.0, 7.6]"
5,"[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 28, 342216), 5.0, 7.6]"
6,"[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 29, 521938), 5.0, 7.6]"
7,"[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 30, 691528), 5.0, 7.6]"
8,"[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 31, 803849), 5.0, 7.6]"
9,"[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 32, 909837), 5.0, 7.6]"
