,Cutting Roses,Pandoras Art,Knight Eagle,Babysgotblueeyes,Alta Ego,Capitol Dawn,Showpony,Batavia Bob,Dream Walker,Ee Jay Why
0,"[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 37, 628794), 26.0, 70.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 38, 876664), 26.0, 70.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 40, 114896), 26.0, 70.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 41, 351071), 26.0, 70.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 42, 590966), 26.0, 70.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 43, 828981), 26.0, 70.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 45, 66458), 26.0, 70.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 46, 305888), 26.0, 70.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 101.0, 400.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 31.0, 75.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 1.85, 2.82]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 41.0, 110.0]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 47, 637727), 26.0, 70.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 48, 903279), 26.0, 70.0]"
10,"[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 26.0, 70.0]"
11,"[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 26.0, 70.0]"
