,Benji Nz,Miss Lamarr,Mandoza Nz,Misstiano,Gee Jay Kay,Christmas Toyboy Nz,Good Times Ahead Nz,Stormyskyes,Gold Horseshoe
0,"[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 5.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 378582), 41.0, 100.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 9, 605994), 41.0, 100.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 966417), 41.0, 100.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 266061), 41.0, 100.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 543926), 41.0, 100.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 786712), 41.0, 100.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 16, 84686), 41.0, 100.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 335145), 41.0, 100.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 566005), 41.0, 100.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 804031), 41.0, 100.0]"
