,Osterberg,Radiant Knight,Raw Impact,Razzama,Sukhbir,To Dubawi Stay,De Lovely Lad,The Hulkbuster,Vardon,Elite Quality
0,"[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 6, 56, 847334), 4.6, 6.2]"
1,"[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 6, 58, 26914), 4.6, 6.2]"
2,"[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 6, 59, 208066), 4.6, 6.2]"
3,"[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 0, 382696), 4.6, 6.2]"
4,"[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 1, 566735), 4.6, 6.2]"
5,"[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 2, 747751), 4.6, 6.2]"
6,"[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 3, 937999), 4.6, 6.2]"
7,"[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 5, 98027), 4.6, 6.2]"
8,"[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 6, 255547), 4.6, 6.2]"
9,"[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 7, 426034), 4.6, 6.2]"
