,Hurricane Gypsy,Sweet Life,Adonis Sands,Gai Water Star,Tangerine Sands,Not Guilty,Uforo Bale,Whippy Flash
0,"[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 14, 841913), 3.4, 3.8]"
1,"[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 15, 993341), 3.4, 3.8]"
2,"[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 17, 136473), 3.4, 3.8]"
3,"[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 18, 266379), 3.4, 3.8]"
4,"[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 19, 402035), 3.4, 3.8]"
5,"[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 20, 540833), 3.4, 3.8]"
6,"[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 21, 685373), 3.4, 3.8]"
7,"[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 22, 815227), 3.4, 3.8]"
8,"[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 23, 953277), 3.4, 3.8]"
9,"[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 25, 95433), 3.4, 3.8]"
10,"[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 26, 232030), 3.4, 3.8]"
11,"[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 27, 388907), 3.4, 3.8]"
12,"[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 28, 536350), 3.4, 3.8]"
13,"[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 29, 673044), 3.4, 3.8]"
14,"[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 30, 806122), 3.4, 3.8]"
15,"[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 31, 949946), 3.4, 3.8]"
