,Just Admit It,Vinny Can Gogh,Jax,Rogue Temptation,Mt View Buck,Poppy To Burn,Orson Franky,Laras Love
0,"[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 20, 323649), 11.0, 22.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 21, 470964), 11.0, 22.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 22, 602077), 11.0, 22.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 23, 728295), 11.0, 22.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 24, 857327), 11.0, 22.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 25, 997600), 11.0, 22.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 27, 134760), 11.0, 22.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 28, 262996), 11.0, 22.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 29, 403375), 11.0, 22.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 30, 540961), 11.0, 22.0]"
10,"[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 11.0, 22.0]"
11,"[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 11.0, 22.0]"
