,Highway Man,Block Busted,Lucretia Ann,Charizard,Too Much Trifle,Rapid Voyage,Tower Bell,Zipping Wreck
0,"[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 3.2, 5.1]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 32, 487220), 2.8, 4.7]"
1,"[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 33, 614113), 2.8, 4.7]"
2,"[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 34, 752714), 2.8, 4.7]"
3,"[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 35, 873741), 2.8, 4.7]"
4,"[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 37, 6269), 2.8, 4.7]"
5,"[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 38, 130414), 2.8, 4.7]"
6,"[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 39, 258960), 2.8, 4.7]"
7,"[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 40, 383980), 2.8, 4.7]"
8,"[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 41, 509654), 2.8, 4.7]"
9,"[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 42, 639572), 2.8, 4.7]"
