,Electro Guru,My Maximus,Speedy Cashew,Tahitian Lily,Modest,Our Legacy,Master Shameem
0,"[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 22, 776972), 2.5, 3.45]"
1,"[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 23, 962191), 2.5, 3.4]"
2,"[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 25, 150256), 2.5, 3.4]"
3,"[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 26, 310066), 2.5, 3.4]"
4,"[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 27, 479492), 2.5, 3.4]"
5,"[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 28, 613029), 2.5, 3.4]"
6,"[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 29, 756125), 2.5, 3.4]"
7,"[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 30, 886242), 2.5, 3.4]"
8,"[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 16, 58, 32, 22840), 2.5, 3.4]"
9,"[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 16, 58, 33, 172332), 2.5, 3.45]"
