,Cosmic Leilani,Who Told Sarah,Speedy Quokka,Dr Dulcie,Boo Boos Better,Stars Hope,Gucci Giblet,Agnes
0,"[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 4, 619244), 26.0, 120.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 5, 787563), 26.0, 120.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 6, 915295), 26.0, 120.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 8, 50694), 26.0, 120.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 9, 173718), 26.0, 120.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 10, 316334), 26.0, 120.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 11, 441823), 26.0, 120.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 12, 575113), 26.0, 120.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 13, 705584), 26.0, 120.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 14, 841926), 26.0, 120.0]"
